time,mag,cdi,mmi,dmin,place,earthquakeType,sig,tsunami,longitude,latitude,depth,country,id_e
18/6/2023 0:00:00,4.8,3.1,3.267,113.98,"50 km SE of Kushima, Japan",earthquake,355,0,131.5626,31.1228,35,japan,"2023-06-18 00:00:00_50 km SE of Kushima, Japan_earthquake_4.8_131.5626_31.1228"
18/6/2023 0:00:00,4.4,3.1,3.267,339.0488,"246 km SE of Hasaki, Japan",earthquake,298,0,143.079,34.4988,10,japan,"2023-06-18 00:00:00_246 km SE of Hasaki, Japan_earthquake_4.4_143.079_34.4988"
17/6/2023 0:00:00,4.8,3.1,3.267,201.4944,"165 km E of Noda, Japan",earthquake,354,0,143.7456,40.257,10,japan,"2023-06-17 00:00:00_165 km E of Noda, Japan_earthquake_4.8_143.7456_40.257"
17/6/2023 0:00:00,4.3,3.1,3.267,75.616,"19 km NNE of Itoigawa, Japan",earthquake,284,0,137.9395,37.1931,223.248,japan,"2023-06-17 00:00:00_19 km NNE of Itoigawa, Japan_earthquake_4.3_137.9395_37.1931"
17/6/2023 0:00:00,4.3,3.1,3.267,33.4712,"3 km S of Urakawa, Japan",earthquake,284,0,142.7791,42.1227,60.608,japan,"2023-06-17 00:00:00_3 km S of Urakawa, Japan_earthquake_4.3_142.7791_42.1227"
17/6/2023 0:00:00,5,2.7,3.267,80.7312,"83 km SSW of Honchō, Japan",earthquake,386,0,142.6085,41.4158,48.854,japan,"2023-06-17 00:00:00_83 km SSW of Honchō, Japan_earthquake_5.0_142.6085_41.4158"
17/6/2023 0:00:00,5.6,3.1,3.267,101.4144,"Hokkaido, Japan region",earthquake,485,0,142.7535,41.1544,34,japan region,"2023-06-17 00:00:00_Hokkaido, Japan region_earthquake_5.6_142.7535_41.1544"
17/6/2023 0:00:00,4.3,3.1,3.267,353.1712,"242 km ESE of Yamada, Japan",earthquake,284,0,144.7086,39.0645,10,japan,"2023-06-17 00:00:00_242 km ESE of Yamada, Japan_earthquake_4.3_144.7086_39.0645"
16/6/2023 0:00:00,4.4,3.1,3.267,200.0488,"3 km WNW of Sakura, Japan",earthquake,306,0,140.1945,35.7309,71.772,japan,"2023-06-16 00:00:00_3 km WNW of Sakura, Japan_earthquake_4.4_140.1945_35.7309"
16/6/2023 0:00:00,4.9,3.8,3.267,251.2008,"13 km SSW of Hasaki, Japan",earthquake,385,0,140.7607,35.6288,44.782,japan,"2023-06-16 00:00:00_13 km SSW of Hasaki, Japan_earthquake_4.9_140.7607_35.6288"
16/6/2023 0:00:00,4.1,3.1,3.267,459.7008,"Bonin Islands, Japan region",earthquake,259,0,139.4108,28.9831,410.969,japan region,"2023-06-16 00:00:00_Bonin Islands, Japan region_earthquake_4.1_139.4108_28.9831"
15/6/2023 0:00:00,4,3.1,3.267,29.1344,"28 km NNW of Yonakuni, Japan",earthquake,246,0,122.9359,24.7213,46.62,japan,"2023-06-15 00:00:00_28 km NNW of Yonakuni, Japan_earthquake_4.0_122.9359_24.7213"
15/6/2023 0:00:00,4.4,3.1,3.267,132.884,"194 km SSE of Katsuura, Japan",earthquake,298,0,141.1484,33.5388,37.613,japan,"2023-06-15 00:00:00_194 km SSE of Katsuura, Japan_earthquake_4.4_141.1484_33.5388"
14/6/2023 0:00:00,4.4,3.1,3.267,245.8632,"7 km ESE of Asahi, Japan",earthquake,298,0,140.7296,35.6895,51.922,japan,"2023-06-14 00:00:00_7 km ESE of Asahi, Japan_earthquake_4.4_140.7296_35.6895"
14/6/2023 0:00:00,4.6,3.1,3.267,264.2112,None,earthquake,326,0,130.4176,29.1261,27.835,None,2023-06-14 00:00:00_None_earthquake_4.6_130.4176_29.1261
14/6/2023 0:00:00,4.4,3.1,3.267,245.5296,"near the east coast of Honshu, Japan",earthquake,298,0,140.7184,35.6752,51.121,japan,"2023-06-14 00:00:00_near the east coast of Honshu, Japan_earthquake_4.4_140.7184_35.6752"
13/6/2023 0:00:00,4.2,3.1,3.267,362.1784,None,earthquake,271,0,142.8518,31.1189,21.8,None,2023-06-13 00:00:00_None_earthquake_4.2_142.8518_31.1189
11/6/2023 0:00:00,4,3.1,3.267,319.5888,"101 km ESE of Takahagi, Japan",earthquake,246,0,141.7687,36.3852,35,japan,"2023-06-11 00:00:00_101 km ESE of Takahagi, Japan_earthquake_4.0_141.7687_36.3852"
11/6/2023 0:00:00,6.2,6.4,4.999,118.3168,"20 km WSW of Biratori, Japan",earthquake,617,0,141.9005,42.5268,121,japan,"2023-06-11 00:00:00_20 km WSW of Biratori, Japan_earthquake_6.2_141.9005_42.5268"
10/6/2023 0:00:00,4.5,2.7,3.267,122.4312,"3 km NW of Inami, Japan",earthquake,312,0,135.1922,33.8345,47.279,japan,"2023-06-10 00:00:00_3 km NW of Inami, Japan_earthquake_4.5_135.1922_33.8345"
9/6/2023 0:00:00,4.6,3.1,3.267,535.5392,"153 km SE of Kuril’sk, Russia",earthquake,326,0,149.2866,44.2807,56.078,russia,"2023-06-09 00:00:00_153 km SE of Kuril’sk, Russia_earthquake_4.6_149.2866_44.2807"
8/6/2023 0:00:00,4.3,3.1,3.267,289.5648,"southeast of Shikoku, Japan",earthquake,284,0,132.0213,29.2789,10,japan,"2023-06-08 00:00:00_southeast of Shikoku, Japan_earthquake_4.3_132.0213_29.2789"
8/6/2023 0:00:00,4.4,3.1,3.267,325.5936,"near the east coast of Honshu, Japan",earthquake,298,0,141.6162,37.8888,71.647,japan,"2023-06-08 00:00:00_near the east coast of Honshu, Japan_earthquake_4.4_141.6162_37.8888"
8/6/2023 0:00:00,4.9,3.1,3.267,40.3656,"11 km SW of Makurazaki, Japan",earthquake,369,0,130.2253,31.2018,189.852,japan,"2023-06-08 00:00:00_11 km SW of Makurazaki, Japan_earthquake_4.9_130.2253_31.2018"
6/6/2023 0:00:00,4.5,3.1,3.267,323.8144,"107 km NE of Hasaki, Japan",earthquake,312,0,141.8062,36.2959,28.185,japan,"2023-06-06 00:00:00_107 km NE of Hasaki, Japan_earthquake_4.5_141.8062_36.2959"
6/6/2023 0:00:00,4.5,3.1,3.267,346.944,"off the east coast of Honshu, Japan",earthquake,312,0,142.0593,36.2453,27.696,japan,"2023-06-06 00:00:00_off the east coast of Honshu, Japan_earthquake_4.5_142.0593_36.2453"
6/6/2023 0:00:00,4.4,3.1,3.267,214.1712,None,earthquake,298,0,130.4853,29.5775,35,None,2023-06-06 00:00:00_None_earthquake_4.4_130.4853_29.5775
5/6/2023 0:00:00,4.3,3.1,3.267,226.0696,"35 km ESE of Ōfunato, Japan",earthquake,284,0,142.0628,38.9061,57.553,japan,"2023-06-05 00:00:00_35 km ESE of Ōfunato, Japan_earthquake_4.3_142.0628_38.9061"
5/6/2023 0:00:00,4.4,3.1,3.267,283.3376,"76 km E of Onagawa Chō, Japan",earthquake,298,0,142.3281,38.4328,41.107,japan,"2023-06-05 00:00:00_76 km E of Onagawa Chō, Japan_earthquake_4.4_142.3281_38.4328"
4/6/2023 0:00:00,4.5,3.1,3.267,369.74,"off the east coast of Honshu, Japan",earthquake,312,0,142.2694,37.2183,35,japan,"2023-06-04 00:00:00_off the east coast of Honshu, Japan_earthquake_4.5_142.2694_37.2183"
4/6/2023 0:00:00,4.8,4.1,3.267,189.4848,"5 km ENE of Honchō, Japan",earthquake,380,0,140.0502,35.7132,73.864,japan,"2023-06-04 00:00:00_5 km ENE of Honchō, Japan_earthquake_4.8_140.0502_35.7132"
4/6/2023 0:00:00,4.3,3.1,3.267,214.06,"8 km NW of Ōami, Japan",earthquake,284,0,140.2659,35.5771,54.626,japan,"2023-06-04 00:00:00_8 km NW of Ōami, Japan_earthquake_4.3_140.2659_35.5771"
4/6/2023 0:00:00,5,3.1,3.267,183.2576,"121 km SSE of Itoman, Japan",earthquake,385,0,128.2919,25.1816,10,japan,"2023-06-04 00:00:00_121 km SSE of Itoman, Japan_earthquake_5.0_128.2919_25.1816"
3/6/2023 0:00:00,4.3,3.1,3.267,194.8224,"near the south coast of western Honshu, Japan",earthquake,284,0,135.8148,33.0663,19.981,japan,"2023-06-03 00:00:00_near the south coast of western Honshu, Japan_earthquake_4.3_135.8148_33.0663"
3/6/2023 0:00:00,5,2.7,3.267,48.4832,"26 km SW of Urakawa, Japan",earthquake,385,0,142.5738,41.978,61.61,japan,"2023-06-03 00:00:00_26 km SW of Urakawa, Japan_earthquake_5.0_142.5738_41.978"
3/6/2023 0:00:00,4.2,3.1,3.267,241.4152,"Hokkaido, Japan region",earthquake,271,0,145.8768,42.8265,32.171,japan region,"2023-06-03 00:00:00_Hokkaido, Japan region_earthquake_4.2_145.8768_42.8265"
2/6/2023 0:00:00,4.2,3.1,3.267,95.7432,"73 km ESE of Katsuren-haebaru, Japan",earthquake,271,0,128.5121,25.9991,10,japan,"2023-06-02 00:00:00_73 km ESE of Katsuren-haebaru, Japan_earthquake_4.2_128.5121_25.9991"
2/6/2023 0:00:00,4.1,3.1,3.267,51.708,"21 km NW of Horokanai, Japan",earthquake,259,0,141.948,44.1434,215.628,japan,"2023-06-02 00:00:00_21 km NW of Horokanai, Japan_earthquake_4.1_141.948_44.1434"
1/6/2023 0:00:00,4.4,3.1,3.267,561.1152,"61 km WSW of Kurio, Japan",earthquake,298,0,129.8607,30.0056,10,japan,"2023-06-01 00:00:00_61 km WSW of Kurio, Japan_earthquake_4.4_129.8607_30.0056"
1/6/2023 0:00:00,4.5,3.1,3.267,485.2768,"Izu Islands, Japan region",earthquake,312,0,142.278,29.2837,10,japan region,"2023-06-01 00:00:00_Izu Islands, Japan region_earthquake_4.5_142.278_29.2837"
30/5/2023 0:00:00,4.1,3.1,4.1605,398.096,"67 km E of Shikotan, Russia",earthquake,259,0,147.5477,43.918,57.242,russia,"2023-05-30 00:00:00_67 km E of Shikotan, Russia_earthquake_4.1_147.5477_43.918"
30/5/2023 0:00:00,4.4,3.1,4.1605,57.268,"142 km SSE of Shimoda, Japan",earthquake,298,0,139.2833,33.4203,11.349,japan,"2023-05-30 00:00:00_142 km SSE of Shimoda, Japan_earthquake_4.4_139.2833_33.4203"
30/5/2023 0:00:00,4.6,3.1,4.1605,124.544,"58 km ENE of Anamizu, Japan",earthquake,326,0,137.4734,37.5033,10,japan,"2023-05-30 00:00:00_58 km ENE of Anamizu, Japan_earthquake_4.6_137.4734_37.5033"
30/5/2023 0:00:00,4.3,3.1,4.1605,341.384,None,earthquake,284,0,141.8637,37.4753,41.052,None,2023-05-30 00:00:00_None_earthquake_4.3_141.8637_37.4753
29/5/2023 0:00:00,4,3.1,4.1605,192.932,"140 km NNW of Hirara, Japan",earthquake,246,0,124.8884,26.0167,184.222,japan,"2023-05-29 00:00:00_140 km NNW of Hirara, Japan_earthquake_4.0_124.8884_26.0167"
