time,mag,cdi,mmi,dmin,place,earthquakeType,sig,tsunami,longitude,latitude,depth,country,id_e
22/6/2023 0:00:00,4.6,3.4,3.267,125.3224,"12 km NW of Yūbari, Japan",earthquake,326,0,141.8665,43.1229,159.932,japan,"2023-06-22 00:00:00_12 km NW of Yūbari, Japan_earthquake_4.6_141.8665_43.1229"
22/6/2023 0:00:00,4.6,1,3.267,202.8288,"132 km SE of Katsuura, Japan",earthquake,326,0,141.414,34.3625,10,japan,"2023-06-22 00:00:00_132 km SE of Katsuura, Japan_earthquake_4.6_141.414_34.3625"
22/6/2023 0:00:00,4.6,3.1,3.267,261.9872,"Izu Islands, Japan region",earthquake,326,0,142.5401,32.5805,10,japan region,"2023-06-22 00:00:00_Izu Islands, Japan region_earthquake_4.6_142.5401_32.5805"
22/6/2023 0:00:00,4.3,2,3.267,102.1928,"78 km ENE of Mutsu, Japan",earthquake,285,0,142.0708,41.5844,21.365,japan,"2023-06-22 00:00:00_78 km ENE of Mutsu, Japan_earthquake_4.3_142.0708_41.5844"
22/6/2023 0:00:00,4.4,3.1,3.267,209.1672,"147 km SE of Shinmachi, Japan",earthquake,298,0,141.5669,34.3023,10,japan,"2023-06-22 00:00:00_147 km SE of Shinmachi, Japan_earthquake_4.4_141.5669_34.3023"
22/6/2023 0:00:00,4,3.1,3.267,415.6656,"Izu Islands, Japan region",earthquake,246,0,139.6245,29.3687,310.68,japan region,"2023-06-22 00:00:00_Izu Islands, Japan region_earthquake_4.0_139.6245_29.3687"
20/6/2023 0:00:00,5,3.1,3.267,203.3848,"10 km ESE of Shingū, Japan",earthquake,385,0,136.084,33.692,411.641,japan,"2023-06-20 00:00:00_10 km ESE of Shingū, Japan_earthquake_5.0_136.084_33.692"
19/6/2023 0:00:00,4.2,3.1,3.267,157.1256,"3 km WSW of Koshigaya, Japan",earthquake,271,0,139.7498,35.8745,62.608,japan,"2023-06-19 00:00:00_3 km WSW of Koshigaya, Japan_earthquake_4.2_139.7498_35.8745"
19/6/2023 0:00:00,5,3.1,3.267,60.3816,"Hokkaido, Japan region",earthquake,386,0,142.8319,42.5016,72.057,japan region,"2023-06-19 00:00:00_Hokkaido, Japan region_earthquake_5.0_142.8319_42.5016"
19/6/2023 0:00:00,4.4,4.6,3.267,82.844,"16 km SSE of Kushima, Japan",earthquake,298,0,131.3027,31.3435,63.297,japan,"2023-06-19 00:00:00_16 km SSE of Kushima, Japan_earthquake_4.4_131.3027_31.3435"
18/6/2023 0:00:00,4.4,3.1,3.267,112.868,"49 km SE of Kushima, Japan",earthquake,298,0,131.551,31.125,44.971,japan,"2023-06-18 00:00:00_49 km SE of Kushima, Japan_earthquake_4.4_131.551_31.125"
18/6/2023 0:00:00,4.8,3.1,3.267,113.98,"50 km SE of Kushima, Japan",earthquake,355,0,131.5626,31.1228,35,japan,"2023-06-18 00:00:00_50 km SE of Kushima, Japan_earthquake_4.8_131.5626_31.1228"
18/6/2023 0:00:00,4.4,3.1,3.267,339.0488,"246 km SE of Hasaki, Japan",earthquake,298,0,143.079,34.4988,10,japan,"2023-06-18 00:00:00_246 km SE of Hasaki, Japan_earthquake_4.4_143.079_34.4988"
17/6/2023 0:00:00,4.8,3.1,3.267,201.4944,"165 km E of Noda, Japan",earthquake,354,0,143.7456,40.257,10,japan,"2023-06-17 00:00:00_165 km E of Noda, Japan_earthquake_4.8_143.7456_40.257"
17/6/2023 0:00:00,4.3,3.1,3.267,75.616,"19 km NNE of Itoigawa, Japan",earthquake,284,0,137.9395,37.1931,223.248,japan,"2023-06-17 00:00:00_19 km NNE of Itoigawa, Japan_earthquake_4.3_137.9395_37.1931"
17/6/2023 0:00:00,4.3,3.1,3.267,33.4712,"3 km S of Urakawa, Japan",earthquake,284,0,142.7791,42.1227,60.608,japan,"2023-06-17 00:00:00_3 km S of Urakawa, Japan_earthquake_4.3_142.7791_42.1227"
17/6/2023 0:00:00,5,2.7,3.267,80.7312,"83 km SSW of Honchō, Japan",earthquake,386,0,142.6085,41.4158,48.854,japan,"2023-06-17 00:00:00_83 km SSW of Honchō, Japan_earthquake_5.0_142.6085_41.4158"
17/6/2023 0:00:00,5.6,3.1,3.267,101.4144,"Hokkaido, Japan region",earthquake,485,0,142.7535,41.1544,34,japan region,"2023-06-17 00:00:00_Hokkaido, Japan region_earthquake_5.6_142.7535_41.1544"
17/6/2023 0:00:00,4.3,3.1,3.267,353.1712,"242 km ESE of Yamada, Japan",earthquake,284,0,144.7086,39.0645,10,japan,"2023-06-17 00:00:00_242 km ESE of Yamada, Japan_earthquake_4.3_144.7086_39.0645"
16/6/2023 0:00:00,4.4,3.1,3.267,200.0488,"3 km WNW of Sakura, Japan",earthquake,306,0,140.1945,35.7309,71.772,japan,"2023-06-16 00:00:00_3 km WNW of Sakura, Japan_earthquake_4.4_140.1945_35.7309"
16/6/2023 0:00:00,4.9,3.8,3.267,251.2008,"13 km SSW of Hasaki, Japan",earthquake,385,0,140.7607,35.6288,44.782,japan,"2023-06-16 00:00:00_13 km SSW of Hasaki, Japan_earthquake_4.9_140.7607_35.6288"
16/6/2023 0:00:00,4.1,3.1,3.267,459.7008,"Bonin Islands, Japan region",earthquake,259,0,139.4108,28.9831,410.969,japan region,"2023-06-16 00:00:00_Bonin Islands, Japan region_earthquake_4.1_139.4108_28.9831"
15/6/2023 0:00:00,4,3.1,3.267,29.1344,"28 km NNW of Yonakuni, Japan",earthquake,246,0,122.9359,24.7213,46.62,japan,"2023-06-15 00:00:00_28 km NNW of Yonakuni, Japan_earthquake_4.0_122.9359_24.7213"
15/6/2023 0:00:00,4.4,3.1,3.267,132.884,"194 km SSE of Katsuura, Japan",earthquake,298,0,141.1484,33.5388,37.613,japan,"2023-06-15 00:00:00_194 km SSE of Katsuura, Japan_earthquake_4.4_141.1484_33.5388"
14/6/2023 0:00:00,4.4,3.1,3.267,245.8632,"7 km ESE of Asahi, Japan",earthquake,298,0,140.7296,35.6895,51.922,japan,"2023-06-14 00:00:00_7 km ESE of Asahi, Japan_earthquake_4.4_140.7296_35.6895"
14/6/2023 0:00:00,4.6,3.1,3.267,264.2112,None,earthquake,326,0,130.4176,29.1261,27.835,None,2023-06-14 00:00:00_None_earthquake_4.6_130.4176_29.1261
14/6/2023 0:00:00,4.4,3.1,3.267,245.5296,"near the east coast of Honshu, Japan",earthquake,298,0,140.7184,35.6752,51.121,japan,"2023-06-14 00:00:00_near the east coast of Honshu, Japan_earthquake_4.4_140.7184_35.6752"
13/6/2023 0:00:00,4.2,3.1,3.267,362.1784,None,earthquake,271,0,142.8518,31.1189,21.8,None,2023-06-13 00:00:00_None_earthquake_4.2_142.8518_31.1189
11/6/2023 0:00:00,4,3.1,3.267,319.5888,"101 km ESE of Takahagi, Japan",earthquake,246,0,141.7687,36.3852,35,japan,"2023-06-11 00:00:00_101 km ESE of Takahagi, Japan_earthquake_4.0_141.7687_36.3852"
11/6/2023 0:00:00,6.2,6.4,4.999,118.3168,"20 km WSW of Biratori, Japan",earthquake,617,0,141.9005,42.5268,121,japan,"2023-06-11 00:00:00_20 km WSW of Biratori, Japan_earthquake_6.2_141.9005_42.5268"
10/6/2023 0:00:00,4.5,2.7,3.267,122.4312,"3 km NW of Inami, Japan",earthquake,312,0,135.1922,33.8345,47.279,japan,"2023-06-10 00:00:00_3 km NW of Inami, Japan_earthquake_4.5_135.1922_33.8345"
9/6/2023 0:00:00,4.6,3.1,3.267,535.5392,"153 km SE of Kuril’sk, Russia",earthquake,326,0,149.2866,44.2807,56.078,russia,"2023-06-09 00:00:00_153 km SE of Kuril’sk, Russia_earthquake_4.6_149.2866_44.2807"
8/6/2023 0:00:00,4.3,3.1,3.267,289.5648,"southeast of Shikoku, Japan",earthquake,284,0,132.0213,29.2789,10,japan,"2023-06-08 00:00:00_southeast of Shikoku, Japan_earthquake_4.3_132.0213_29.2789"
8/6/2023 0:00:00,4.4,3.1,3.267,325.5936,"near the east coast of Honshu, Japan",earthquake,298,0,141.6162,37.8888,71.647,japan,"2023-06-08 00:00:00_near the east coast of Honshu, Japan_earthquake_4.4_141.6162_37.8888"
8/6/2023 0:00:00,4.9,3.1,3.267,40.3656,"11 km SW of Makurazaki, Japan",earthquake,369,0,130.2253,31.2018,189.852,japan,"2023-06-08 00:00:00_11 km SW of Makurazaki, Japan_earthquake_4.9_130.2253_31.2018"
6/6/2023 0:00:00,4.5,3.1,3.267,323.8144,"107 km NE of Hasaki, Japan",earthquake,312,0,141.8062,36.2959,28.185,japan,"2023-06-06 00:00:00_107 km NE of Hasaki, Japan_earthquake_4.5_141.8062_36.2959"
6/6/2023 0:00:00,4.5,3.1,3.267,346.944,"off the east coast of Honshu, Japan",earthquake,312,0,142.0593,36.2453,27.696,japan,"2023-06-06 00:00:00_off the east coast of Honshu, Japan_earthquake_4.5_142.0593_36.2453"
6/6/2023 0:00:00,4.4,3.1,3.267,214.1712,None,earthquake,298,0,130.4853,29.5775,35,None,2023-06-06 00:00:00_None_earthquake_4.4_130.4853_29.5775
5/6/2023 0:00:00,4.3,3.1,3.267,226.0696,"35 km ESE of Ōfunato, Japan",earthquake,284,0,142.0628,38.9061,57.553,japan,"2023-06-05 00:00:00_35 km ESE of Ōfunato, Japan_earthquake_4.3_142.0628_38.9061"
5/6/2023 0:00:00,4.4,3.1,3.267,283.3376,"76 km E of Onagawa Chō, Japan",earthquake,298,0,142.3281,38.4328,41.107,japan,"2023-06-05 00:00:00_76 km E of Onagawa Chō, Japan_earthquake_4.4_142.3281_38.4328"
4/6/2023 0:00:00,4.5,3.1,3.267,369.74,"off the east coast of Honshu, Japan",earthquake,312,0,142.2694,37.2183,35,japan,"2023-06-04 00:00:00_off the east coast of Honshu, Japan_earthquake_4.5_142.2694_37.2183"
4/6/2023 0:00:00,4.8,4.1,3.267,189.4848,"5 km ENE of Honchō, Japan",earthquake,380,0,140.0502,35.7132,73.864,japan,"2023-06-04 00:00:00_5 km ENE of Honchō, Japan_earthquake_4.8_140.0502_35.7132"
4/6/2023 0:00:00,4.3,3.1,3.267,214.06,"8 km NW of Ōami, Japan",earthquake,284,0,140.2659,35.5771,54.626,japan,"2023-06-04 00:00:00_8 km NW of Ōami, Japan_earthquake_4.3_140.2659_35.5771"
4/6/2023 0:00:00,5,3.1,3.267,183.2576,"121 km SSE of Itoman, Japan",earthquake,385,0,128.2919,25.1816,10,japan,"2023-06-04 00:00:00_121 km SSE of Itoman, Japan_earthquake_5.0_128.2919_25.1816"
