id,year,month,day,hour,locationName,latitude,longitude,eqMagnitude,intensity,damageAmountOrder,housesDestroyedAmountOrder,tsunamiEventId,eqMagMs,publish,deathsTotal,deathsAmountOrderTotal,damageAmountOrderTotal,housesDestroyedAmountOrderTotal,country,regionCode,minute,deaths,deathsAmountOrder,injuries,injuriesAmountOrder,housesDamagedAmountOrder,injuriesTotal,injuriesAmountOrderTotal,housesDamagedAmountOrderTotal,eqDepth,second,eqMagMw,eqMagMb,eqMagUnk,damageMillionsDollars,housesDestroyed,damageMillionsDollarsTotal,housesDestroyedTotal,housesDamaged,housesDamagedTotal,eqMagMl,volcanoEventId,eqMagMfa,missing,missingAmountOrder,missingTotal,missingAmountOrderTotal
3927,1949,12,17,15.0,CHILE:  TIERRA DEL FUEGO,-54.0,-71.0,7.8,,1.0,,1801.0,7.8,True,3.0,1.0,1.0,,CHILE,160,7.0,3.0,1.0,,,,,,,33.0,55.0,,,,,,,,,,,,,,,,
4175,1958,9,4,21.0,CHILE-ARGENTINA,-33.785,-70.112,6.8,,3.0,,,6.8,True,,,,,CHILE,160,51.0,7.0,1.0,,,,,,,,16.9,,,,,,,,,,,,,,,,
4572,1971,7,9,3.0,CHILE:  CENTRAL,-32.5,-71.2,7.8,9.0,4.0,3.0,2033.0,7.5,True,83.0,2.0,4.0,3.0,CHILE,160,3.0,83.0,2.0,447.0,3.0,,447.0,3.0,,58.0,18.7,7.8,6.6,,236.4,,236.4,,,,,,,,,,
4812,1978,8,3,18.0,CHILE:  NORTHERN:  COPIAPO-TALTAI,-26.51,-70.54,7.0,9.0,3.0,,,,True,,,,,CHILE,160,11.0,,,13.0,1.0,,,,,58.0,17.1,,7.0,6.7,,,,,,,,,,,,,
5138,1987,8,8,15.0,"CHILE:  ARICA, IQUIQUE",-19.022,-69.991,6.9,7.0,2.0,3.0,,6.9,True,5.0,1.0,2.0,3.0,CHILE,160,48.0,5.0,1.0,112.0,3.0,,112.0,3.0,,70.0,56.7,,6.4,,1.0,1000.0,1.0,1000.0,,,,,,,,,
5630,2002,4,18,16.0,"CHILE:  COPIAPO, TALTAL",-27.535,-70.586,6.6,,2.0,1.0,,,True,,,2.0,1.0,CHILE,160,8.0,,,19.0,1.0,3.0,19.0,1.0,3.0,62.0,36.7,6.6,6.2,,,34.0,,34.0,575.0,575.0,,,,,,,
5688,2003,6,20,13.0,"CHILE:  OVALLE, COQUIMBO; ARGENTINA:  SAN JUAN",-30.608,-71.637,6.8,6.0,1.0,,,6.8,True,,,1.0,,CHILE,160,30.0,,,1.0,1.0,2.0,1.0,1.0,2.0,33.0,41.6,6.8,6.4,,,,,,,,,,,,,,
5786,2004,6,15,11.0,"CHILE: CARAHUE, IMPERIAL, TEMUCO",-38.854,-73.155,5.9,6.0,1.0,,,5.4,True,,,1.0,,CHILE,160,16.0,,,,,,,,,38.0,31.5,5.9,5.7,,,,,,,,,,,,,,
6417,1965,10,3,16.0,CHILE:  SOUTHERN,-42.9,-75.13,6.5,3.0,,,1979.0,6.5,True,,,,,CHILE,160,14.0,,,,,,,,,28.0,56.0,,,,,,,,,,,,,,,,
6427,1970,6,14,,CHILE:  SOUTHERN,-52.0,-73.8,6.0,,,,2022.0,6.0,True,,,,,CHILE,160,,,,,,,,,,10.0,,,,,,,,,,,,,,,,,
6428,1970,6,19,10.0,CHILE:  NORTHERN,-22.28,-70.55,6.4,,,,2023.0,6.4,True,,,,,CHILE,160,56.0,,,,,,,,,44.0,13.5,,6.1,,,,,,,,,,,,,,
6624,1871,3,25,,CHILE:  CENTRAL,-35.0,-72.5,7.5,,3.0,3.0,1023.0,7.5,True,,,3.0,3.0,CHILE,160,,,,,,,,,,,,,,,,,,,,,,,,,,,
9781,1869,8,21,16.0,CHILE:  IQUIQUE,-21.0,-70.0,6.8,,,,5408.0,6.8,True,,,,,CHILE,160,40.0,,,,,,,,,,,,,,,,,,,,,,,,,,
10079,2014,4,1,23.0,"CHILE:  NORTHERN:  IQUIQUE, ALTO HOSPICIO",-19.61,-70.769,8.2,8.0,4.0,,5557.0,,True,7.0,1.0,4.0,,CHILE,160,46.0,7.0,1.0,,,4.0,,,4.0,25.0,47.3,8.2,,,100.0,,100.0,,2600.0,2600.0,,,,,,,
