id,year,month,day,hour,locationName,latitude,longitude,eqMagnitude,intensity,damageAmountOrder,housesDestroyedAmountOrder,tsunamiEventId,eqMagMs,publish,deathsTotal,deathsAmountOrderTotal,damageAmountOrderTotal,housesDestroyedAmountOrderTotal,country,regionCode,minute,deaths,deathsAmountOrder,injuries,injuriesAmountOrder,housesDamagedAmountOrder,injuriesTotal,injuriesAmountOrderTotal,housesDamagedAmountOrderTotal,eqDepth,second,eqMagMw,eqMagMb,eqMagUnk,damageMillionsDollars,housesDestroyed,damageMillionsDollarsTotal,housesDestroyedTotal,housesDamaged,housesDamagedTotal,eqMagMl,volcanoEventId,eqMagMfa,missing,missingAmountOrder,missingTotal,missingAmountOrderTotal
6588,1950,1,30,0.0,CHILE:  SOUTHERN,-53.5,-71.5,7.0,6.0,,,1803.0,7.0,True,,1.0,,,CHILE,160,56.0,,1.0,,,,,,,33.0,32.0,,,,,,,,,,,,,,,,
6606,1995,11,1,0.0,CHILE:  NEAR CENTRAL COAST,-28.906,-71.417,6.7,,,,2255.0,6.4,True,,,,,CHILE,160,35.0,,,,,,,,,20.0,32.7,6.7,6.3,,,,,,,,,,,,,,
9932,2012,5,14,10.0,CHILE:  ARICA; PERU:  TACNA,-17.678,-69.591,6.3,,1.0,,,,True,,,1.0,,CHILE,160,0.0,,,,,,,,,10.0,40.2,6.3,6.4,,,,,,,,,,,,,,
10008,1868,8,14,1.0,CHILE:  ARICA,-18.6,-71.0,8.5,,,,5484.0,8.5,True,,,,,CHILE,160,30.0,,,,,,,,,,,,,,,,,,,,,,,,,,
10414,2019,6,14,0.0,CHILE:  COQUIMBO,-30.056,-72.082,6.4,,,,5710.0,,True,,,,,CHILE,160,19.0,,,,,,,,,11.0,12.0,6.4,,,,,,,,,,,,,,,
10115,2014,10,9,2.0,CHILE: EASTER ISLAND REGION,-32.108,-110.811,7.0,,,,5577.0,,True,,,,,CHILE,160,14.0,,,,,,,,,17.0,31.4,7.0,,,,,,,,,,,,,,,
1636,1819,4,4,20.0,CHILE:  COPIAPO,-27.4,-70.3,8.0,,3.0,3.0,,,True,,3.0,3.0,3.0,CHILE,160,0.0,,3.0,,,,,,,,,,,8.0,,,,,,,,,,,,,
1730,1829,9,26,19.0,CHILE:  VALPARAISO,-33.05,-71.63,7.0,11.0,1.0,,673.0,7.0,True,,1.0,1.0,,CHILE,160,12.0,,1.0,,,,,,,,,,,,,,,,,,,,,,,,
3525,1933,11,3,4.0,CHILE,-22.0,-70.5,5.5,10.0,,,,,True,,,,,CHILE,160,14.0,,,,,,,,,70.0,0.0,,,5.5,,,,,,,,,,,,,
3926,1949,12,17,6.0,CHILE:  TIERRA DEL FUEGO,-54.0,-71.0,7.8,,1.0,,5202.0,7.8,True,1.0,1.0,1.0,,CHILE,160,53.0,1.0,1.0,,,,,,,33.0,30.0,,,,,,,,,,,,,,,,
4033,1953,12,7,2.0,CHILE:  NORTHERN,-22.1,-68.7,7.4,,3.0,,,,True,,,,,CHILE,160,5.0,3.0,1.0,,,,,,,128.0,0.0,,,7.4,7.31,,,,,,,,,,,,
4073,1955,4,19,20.0,CHILE,-30.0,-72.0,7.1,6.0,,,1849.0,7.1,True,1.0,1.0,1.0,1.0,CHILE,160,24.0,,,,,,,,,30.0,5.0,,,,,,,,,,,,,,,,
4690,1975,5,10,14.0,CHILE:  CENTRAL,-38.18,-73.23,7.7,,2.0,,,7.7,True,,,,,CHILE,160,27.0,,,,,,,,,6.0,38.7,,6.5,7.8,,,,,,,,,,,,,
6273,1920,8,20,16.0,CHILE:  OFF COAST CENTRAL,-38.0,-73.5,7.0,,2.0,2.0,1485.0,7.0,True,,,2.0,2.0,CHILE,160,15.0,,,,,2.0,,,2.0,15.0,38.0,,,,,,,,,,,,,,,,
6318,1926,12,9,22.0,CHILE:  VALLENAR,-28.0,-71.0,6.0,,,,1573.0,6.0,True,,,,,CHILE,160,38.0,,,,,,,,,33.0,48.0,,,,,,,,,,,,,,,,
6340,1939,4,18,6.0,CHILE:  NORTH CENTRAL,-27.0,-70.5,7.4,,,,1732.0,7.4,True,,,,,CHILE,160,22.0,,,,,,,,,100.0,45.0,,,,,,,,,,,,,,,,
6411,1965,2,23,22.0,CHILE:  NORTHERN,-25.67,-70.63,7.0,,,,1965.0,7.0,True,,,,,CHILE,160,11.0,,,,,,,,,36.0,46.0,,,,,,,,,,,,,,,,
6473,1988,2,5,14.0,CHILE:  TALTAL,-24.753,-70.433,6.7,,1.0,,2180.0,6.7,True,,,1.0,,CHILE,160,1.0,,,,,,,,,37.0,2.7,,6.2,,,,,,,,,,,,,,
8912,2010,3,11,14.0,CHILE:  RANCAGUA,-34.29,-71.891,6.9,,1.0,,4722.0,7.0,True,,,1.0,,CHILE,160,39.0,,,,,,,,,11.0,43.9,6.9,6.7,,,,,,,,,,,,,,
10450,2019,9,26,16.0,CHILE:  SOUTH CENTRAL,-40.815,-72.002,6.1,,,,,,True,1.0,1.0,,,CHILE,160,36.0,1.0,1.0,,,,,,,129.0,18.0,6.1,,,,,,,,,,,,,,,
10451,2019,9,29,15.0,CHILE:  CONCEPCION,-35.473,-73.162,6.8,,,,,,True,1.0,1.0,,,CHILE,160,57.0,1.0,1.0,,,,,,,11.0,53.0,6.8,,,,,,,,,,,,,,,
744,1562,10,28,10.0,CHILE,-38.7,-73.5,8.0,11.0,3.0,,178.0,8.0,True,,3.0,3.0,,CHILE,160,,,,,,,,,,,,,,,,,,,,,,,,,,,
1003,1657,3,15,23.0,"CHILE:  CONCEPCION, CHILLAN",-36.83,-73.03,8.0,11.0,3.0,3.0,281.0,8.0,True,40.0,1.0,3.0,3.0,CHILE,160,30.0,,1.0,,,,,,,,,,,,,,,,,,,,,,,,
1246,1730,7,8,8.0,CHILE:  VALPARAISO,-32.5,-71.5,9.1,11.0,3.0,3.0,400.0,8.7,True,5.0,1.0,3.0,3.0,CHILE,160,45.0,2.0,1.0,,,,,,,,,9.1,,,,,,,,,,,,,,,
1272,1737,12,24,,"CHILE: VALDIVIA, CHILOE",-43.0,-74.0,8.0,11.0,2.0,2.0,415.0,8.0,True,,2.0,2.0,2.0,CHILE,160,,,2.0,,,,,,,,,,,,,,,,,,,,,,,,
1800,1837,11,7,12.0,CHILE:  VALDIVIA,-42.5,-74.0,8.5,10.0,3.0,3.0,708.0,8.5,True,16.0,1.0,3.0,3.0,CHILE,160,51.0,,,,,,,,,,,,,,,,,,,,,,,,,,
3202,1922,11,11,4.0,CHILE:  ATACAMA,-28.293,-69.852,8.5,11.0,3.0,3.0,1505.0,8.3,True,700.0,3.0,3.0,3.0,CHILE,160,32.0,500.0,3.0,,,,,,,70.0,51.0,8.5,,,,,,,,,,,,,,,
3632,1939,1,25,3.0,CHILE:  CHILLAN,-36.25,-72.25,8.3,10.0,4.0,4.0,1729.0,8.3,True,30000.0,4.0,4.0,4.0,CHILE,160,32.0,30000.0,4.0,,,,,,,60.0,14.0,,,,920.0,,920.0,,,,,,,,,,
3827,1946,8,2,19.0,CHILE:  NORTHERN,-26.5,-70.5,7.9,,3.0,,1764.0,7.9,True,2.0,1.0,3.0,,CHILE,160,18.0,2.0,1.0,,,,,,,60.0,48.0,,,,,,,,,,,,,,,,
